id_parcela,ph_suelo,materia_organica_pct,carbono_organico_pct,nitrogeno_ppm,fosforo_ppm,potasio_ppm,calcio_ppm,magnesio_ppm,azufre_ppm,conductividad_electrica,cic,caliza_activa_pct,arcilla_pct,arena_pct,limo_pct,humedad_suelo_pct,capacidad_campo_pct,profundidad_suelo_cm,pendiente_pct,altitud_m,precipitacion_anual_mm,temp_media_c,temp_min_invierno_c,temp_max_verano_c,radiacion_anual,evapotranspiracion_mm,indice_aridez,orientacion,tipo_suelo
PAR000000,8.1,1.3,0.67,14,6.0,179,1758,98.0,10.2,1.51,20.3,17.4,28.6,44.1,27.3,18.8,18.5,68.0,10.3,258.0,457,22.1,11.0,38.9,1919,1251.0,0.4,S,arcilloso
PAR000001,7.4,3.4,,36,29.0,223,2496,273.0,19.2,0.57,20.2,9.6,19.7,29.0,51.3,28.0,23.8,88.0,6.9,357.0,478,16.0,1.7,30.7,1628,841.0,0.59,N,franco
PAR000002,6.8,1.1,0.65,9,10.0,115,1204,120.0,7.0,0.78,15.6,8.3,12.5,84.6,2.9,22.3,15.8,,8.5,438.0,404,16.2,3.8,32.4,1585,,0.48,N,franco
PAR000003,7.8,2.0,1.03,18,11.0,173,1825,212.0,7.1,1.38,19.1,19.6,29.2,36.1,34.7,25.0,26.6,77.0,2.7,178.0,447,18.2,5.0,34.6,1637,992.0,0.46,S,calcareo
PAR000004,7.9,1.4,0.69,8,7.0,116,1777,180.0,9.7,1.73,,15.2,13.8,36.3,49.9,21.8,15.6,,2.7,251.0,340,18.5,6.6,,1942,1069.0,0.37,S,calcareo
PAR000005,7.0,3.2,,32,28.0,199,2290,260.0,17.7,0.74,27.6,5.1,26.3,34.3,39.4,30.6,29.5,116.0,11.9,199.0,671,16.3,4.4,31.1,1715,917.0,0.78,N,arcilloso
PAR000006,5.7,2.8,1.61,25,23.0,176,1830,267.0,6.3,0.34,21.9,1.4,,20.0,40.9,40.5,31.0,24.0,17.8,817.0,906,12.6,0.2,26.8,1217,762.0,1.16,E,franco
PAR000007,6.8,2.7,1.59,22,23.0,171,2325,221.0,8.9,0.82,21.8,7.9,25.3,46.5,28.2,28.9,29.2,74.0,4.0,270.0,593,17.0,5.6,33.6,1569,953.0,0.63,N,arenoso
PAR000008,6.8,3.2,1.79,25,23.0,226,2009,270.0,13.0,0.75,,2.8,24.1,30.3,45.6,31.2,24.1,61.0,6.7,378.0,723,17.3,5.7,31.3,1565,,0.77,E,franco
PAR000009,7.9,1.7,1.04,15,18.0,156,1901,120.0,6.3,1.59,18.0,20.1,28.1,51.6,,23.0,25.2,55.0,,327.0,501,18.4,6.6,33.4,2068,934.0,0.56,O,arcilloso
PAR000010,5.8,4.3,2.37,34,28.0,232,2010,295.0,24.9,0.64,27.6,0.0,32.4,28.6,39.0,34.4,32.5,71.0,19.2,972.0,742,8.3,-4.0,21.2,1118,500.0,1.49,O,arenoso
PAR000011,8.0,1.8,1.2,12,11.0,133,1603,164.0,4.5,1.53,,15.8,17.9,54.5,27.6,20.7,20.1,45.0,8.3,459.0,352,17.9,6.2,,1952,1001.0,0.36,N,calcareo
PAR000012,8.0,1.4,,16,9.0,154,2159,141.0,,1.64,14.8,18.9,25.4,21.6,53.0,22.6,22.1,80.0,6.0,0.0,269,21.0,11.6,39.3,2076,1137.0,0.3,N,calcareo
