id_hogar,ingreso_mensual_eur,ingreso_principal_eur,ingreso_secundario_eur,ratio_gasto_ingreso,gasto_mensual_eur,gasto_vivienda_pct,gasto_alimentacion_pct,gasto_suministros_pct,gasto_transporte_pct,gasto_ocio_pct,gasto_educacion_pct,gasto_salud_pct,ahorro_pct,ahorro_acumulado_eur,deuda_eur,deuda_consumo_eur,cuota_deuda_mensual_eur,ratio_endeudamiento_pct,num_miembros,num_perceptores,num_menores,edad_sustentador,num_tarjetas,num_productos_bancarios,antiguedad_cliente_anos,patrimonio_neto_eur,regimen_vivienda,nivel_estudios,situacion_laboral
HOG000000,1841,1150.0,691.0,1.14,2090,46.4,24.9,8.7,9.5,4.0,4.1,2.4,0.0,0.0,10325.0,,337.0,18.3,2,0,0,45.0,0,0.0,24.7,-30000.0,hipoteca,basico,parado
HOG000001,2378,1647.0,731.0,1.02,2427,29.8,22.8,9.2,17.8,10.6,0.0,9.9,0.0,4119.0,19566.0,11698.0,586.0,24.6,5,0,2,54.0,2,5.0,6.0,-30000.0,hipoteca,superior,inactivo
HOG000002,4090,3052.0,1038.0,0.64,2607,31.3,12.5,14.5,7.7,33.2,0.0,0.7,37.2,73074.0,0.0,0.0,0.0,0.0,2,2,0,,4,8.0,14.3,268607.0,propiedad,superior,ocupado
HOG000003,1862,1319.0,543.0,1.09,2022,34.1,23.2,15.0,13.3,3.3,6.5,4.6,0.0,0.0,24527.0,17574.0,806.0,43.3,4,2,1,38.0,2,2.0,24.1,-30000.0,alquiler,superior,ocupado
HOG000004,2689,2338.0,,,2928,29.4,26.4,7.0,11.5,8.7,6.1,10.9,0.0,0.0,15422.0,4097.0,499.0,18.6,4,1,1,41.0,3,1.0,24.2,-30000.0,propiedad,basico,ocupado
HOG000005,2400,1729.0,671.0,1.13,2719,32.5,20.5,13.2,10.6,11.1,6.7,5.5,0.0,19155.0,28022.0,15043.0,950.0,39.6,4,2,1,47.0,2,5.0,9.0,-2654.0,alquiler,medio,jubilado
HOG000006,3266,2444.0,822.0,1.0,3257,32.6,26.4,12.6,5.7,4.3,8.6,9.7,0.0,693.0,6970.0,650.0,210.0,6.4,4,1,0,56.0,2,1.0,0.0,11895.0,hipoteca,superior,parado
HOG000007,4568,2708.0,1860.0,0.77,3515,14.0,20.3,20.5,12.4,18.0,9.0,5.9,26.7,71932.0,,0.0,55.0,1.2,1,1,1,34.0,3,7.0,19.4,246032.0,alquiler,medio,parado
HOG000008,983,560.0,423.0,1.03,1010,45.7,24.5,10.3,9.5,0.0,5.7,4.4,0.0,0.0,13042.0,4700.0,348.0,35.3,3,2,0,31.0,1,1.0,0.0,-30000.0,alquiler,medio,inactivo
HOG000009,4520,3273.0,1247.0,0.81,3680,19.6,26.0,14.6,13.0,19.4,1.2,6.0,18.5,62345.0,10012.0,4320.0,325.0,7.2,2,1,1,34.0,4,3.0,20.0,206305.0,propiedad,medio,ocupado
HOG000010,3738,2711.0,1027.0,0.96,3574,25.0,26.1,15.1,17.9,13.4,1.2,1.4,4.9,32047.0,26811.0,16782.0,,23.2,3,1,0,26.0,2,4.0,6.8,65475.0,alquiler,superior,parado
HOG000011,1646,895.0,751.0,1.05,1728,49.0,27.3,7.8,6.4,1.1,4.4,4.1,0.0,0.0,12749.0,6705.0,363.0,22.1,3,2,1,43.0,2,0.0,1.5,14056.0,alquiler,basico,ocupado
HOG000012,2346,1879.0,467.0,1.02,2392,32.6,23.1,11.1,14.9,5.3,6.8,6.2,0.0,23749.0,,,129.0,5.5,3,1,0,47.0,3,5.0,1.2,38543.0,alquiler,basico,jubilado
HOG000013,2412,1527.0,,1.02,2457,32.7,23.0,16.9,13.0,6.9,3.7,3.8,0.0,22222.0,26958.0,11459.0,814.0,33.7,4,1,1,40.0,2,4.0,10.5,14602.0,alquiler,basico,ocupado
HOG000014,1512,500.0,1012.0,1.12,1696,50.6,22.2,8.4,10.4,0.8,4.5,2.9,0.0,0.0,17147.0,,524.0,34.6,4,2,1,31.0,0,0.0,21.8,-30000.0,propiedad,medio,ocupado
HOG000015,2549,1890.0,659.0,1.03,2631,28.3,22.7,13.2,11.9,12.1,9.9,2.0,0.0,2302.0,13159.0,5167.0,431.0,16.9,2,0,0,44.0,2,,15.7,-5034.0,alquiler,medio,inactivo
HOG000016,5528,3949.0,1579.0,,3596,13.3,22.2,12.3,13.7,22.0,6.7,9.8,38.1,68596.0,0.0,,,0.0,2,2,0,56.0,4,5.0,8.8,279157.0,propiedad,superior,ocupado
HOG000017,2178,1165.0,1013.0,1.11,2415,49.5,22.4,4.6,12.0,7.2,0.2,4.0,0.0,,20805.0,9463.0,681.0,31.3,3,2,0,58.0,1,1.0,22.2,-25592.0,propiedad,basico,parado
HOG000018,3199,2318.0,881.0,1.02,3269,33.6,18.4,13.5,9.5,11.7,9.8,3.5,0.0,14175.0,26479.0,,877.0,27.4,4,1,1,,2,3.0,1.7,18934.0,hipoteca,medio,parado
HOG000019,2474,1344.0,1130.0,0.96,2365,43.9,22.7,6.7,10.8,9.9,0.9,5.2,2.7,0.0,20220.0,8946.0,595.0,24.1,3,1,0,56.0,1,2.0,10.8,-27310.0,alquiler,medio,parado
