id_estacion,no2_ugm3,no2_max_ugm3,nox_ugm3,pm10_ugm3,pm10_max_ugm3,pm25_ugm3,pm25_max_ugm3,o3_ugm3,o3_max_ugm3,so2_ugm3,co_mgm3,benceno_ugm3,nh3_ugm3,ruido_db,trafico_indice,intensidad_trafico,pct_vehiculos_pesados,densidad_poblacion,dist_industria_km,dist_via_principal_m,superficie_verde_pct,temp_media_c,humedad_pct,viento_kmh,precipitacion_mm,radiacion_solar,altitud_m,num_dias_superacion,entorno
EST000000,,107,77.0,28,72,18,49.0,43.0,78,5.4,0.96,,3.2,61.0,77,30317.0,13.4,6709,6.8,75,0.0,12.3,50.0,12.7,577,451,726,21,interior
EST000001,39.0,118,80.0,21,60,11,20.0,45.0,69,6.4,0.73,1.51,4.2,65.5,67,21423.0,,4135,8.0,255,13.5,21.8,50.0,21.5,506,460,573,13,interior
EST000002,2.0,10,4.0,17,10,10,36.0,75.0,168,0.6,0.1,0.77,16.8,35.9,0,100.0,2.9,20,7.4,575,57.6,17.0,62.0,12.8,501,440,546,4,costa
EST000003,9.0,37,6.0,8,33,5,16.0,64.0,131,1.9,0.17,0.33,11.9,50.9,13,100.0,1.9,20,5.5,485,36.7,15.1,65.0,13.2,630,357,284,0,costa
EST000004,31.0,101,,36,86,22,52.0,,70,23.9,0.52,1.65,3.0,57.0,53,,17.2,3300,4.2,51,20.4,17.1,86.0,10.8,296,246,343,43,costa
EST000005,45.0,131,85.0,28,59,16,51.0,33.0,78,2.7,,1.59,4.5,67.0,92,28859.0,11.0,6605,6.5,72,12.9,17.3,76.0,13.1,556,463,451,17,interior
EST000006,42.0,117,73.0,34,66,21,44.0,34.0,33,5.8,0.83,1.61,5.6,55.9,58,26912.0,6.9,5750,6.3,224,12.9,17.8,72.0,23.1,496,396,324,19,costa
EST000007,33.0,70,61.0,27,76,18,43.0,,54,0.0,0.62,0.72,2.0,56.5,52,19625.0,4.2,5298,12.8,234,15.1,10.1,51.0,9.5,833,426,403,0,interior
EST000008,45.0,125,89.0,32,93,22,43.0,29.0,82,0.0,,1.98,,58.5,85,32342.0,6.8,4911,10.0,199,15.9,19.2,57.0,10.1,375,320,324,5,costa
EST000009,31.0,94,53.0,27,41,16,46.0,57.0,126,0.0,0.61,0.16,2.9,48.4,58,16972.0,,3223,10.8,304,16.2,14.5,47.0,13.7,586,316,485,0,interior
