id_especimen,longitud_total_mm,longitud_elitro_mm,anchura_max_mm,anchura_pronoto_mm,anchura_cabeza_mm,altura_cuerpo_mm,longitud_antena_mm,num_segmentos_antena,longitud_pata_anterior_mm,longitud_pata_posterior_mm,longitud_femur_mm,longitud_tibia_mm,longitud_tarso_mm,distancia_interocular_mm,diametro_ojo_mm,longitud_mandibula_mm,num_estrias_elitro,num_puntos_pronoto,longitud_espolon_mm,peso_mg,ratio_largo_ancho,ratio_antena_cuerpo,ratio_pata_cuerpo,area_dorsal_mm2,volumen_estimado_mm3,longitud_ala_mm,envergadura_mm,coloracion
ESP000000,18.96,11.69,7.0,5.61,3.97,,8.93,11.0,7.39,10.73,4.86,4.56,2.88,1.88,1.04,2.08,11,48.0,0.6,185,2.71,0.471,0.566,103.5,351.7,15.07,37.14,negro
ESP000001,20.08,12.63,7.53,5.65,4.29,,9.41,11.0,7.85,11.6,5.12,4.73,3.36,2.15,1.04,1.97,11,86.0,0.76,236,2.67,0.469,0.578,117.9,392.4,15.57,38.67,negro
ESP000002,20.25,12.71,7.79,5.96,4.25,5.89,10.48,11.0,7.63,12.29,5.46,4.92,3.55,2.2,1.02,2.18,11,75.0,1.01,244,2.6,0.518,0.607,123.0,464.6,16.18,40.15,metalico
ESP000003,15.59,9.68,6.83,5.55,3.51,5.11,7.13,,5.84,8.78,4.1,3.47,2.42,1.97,0.92,1.86,10,,0.89,132,2.28,0.457,0.563,83.1,272.1,12.59,32.01,marron
ESP000004,16.58,10.21,7.4,5.62,4.13,4.49,7.74,11.0,6.47,9.76,4.26,3.82,2.86,1.85,1.01,1.74,11,,1.06,179,2.24,0.467,0.589,95.7,275.4,13.48,34.36,marron
ESP000005,14.07,8.59,5.74,4.84,3.05,3.91,7.23,9.0,5.73,7.76,3.76,3.48,2.35,1.58,0.81,1.49,9,46.0,0.79,65,2.45,0.514,0.552,63.0,157.9,11.56,28.86,negro
ESP000006,13.22,8.0,5.63,4.71,3.27,3.93,5.48,8.0,4.52,6.74,2.61,2.73,1.93,1.57,0.75,1.41,9,49.0,0.54,84,2.35,0.415,0.51,58.1,146.3,9.47,24.57,negro
ESP000007,,7.51,6.68,5.32,4.04,4.07,5.29,,5.19,7.67,,3.11,2.25,1.79,0.83,1.45,7,40.0,0.37,81,1.81,0.438,,62.9,164.1,9.88,26.44,marron
ESP000008,10.44,6.37,5.35,4.15,3.28,,5.91,10.0,4.19,6.62,2.89,,1.95,1.53,0.76,1.15,8,33.0,0.37,43,1.95,0.566,,43.6,97.7,9.66,24.67,marron
ESP000009,11.44,6.89,6.51,4.91,3.6,3.37,4.92,9.0,5.13,6.58,2.9,2.81,1.59,1.7,0.97,1.04,9,,0.63,37,1.76,,0.575,58.1,125.5,9.38,25.27,marron
ESP000010,14.46,9.29,6.83,5.35,3.82,4.79,6.79,8.0,5.46,8.4,3.71,3.52,2.32,1.88,0.97,1.55,9,48.0,0.99,96,2.12,0.47,0.581,77.0,236.5,11.82,30.47,negro
ESP000011,19.63,12.01,8.66,7.04,4.59,5.67,8.9,13.0,7.99,11.93,5.45,4.97,3.45,2.28,1.25,2.29,11,47.0,1.13,236,2.27,0.453,0.608,132.6,481.9,15.55,39.76,metalico
ESP000012,21.21,13.18,8.54,6.61,,6.11,10.34,12.0,8.06,12.4,5.61,4.87,3.63,2.15,1.14,2.34,11,78.0,0.94,276,2.48,0.488,,141.3,553.4,16.92,42.38,metalico
ESP000013,18.69,11.41,7.73,6.06,4.23,5.63,9.1,10.0,6.9,11.31,5.22,,3.27,2.19,1.08,2.09,12,54.0,0.95,210,2.42,0.487,0.605,112.7,406.7,15.36,38.45,metalico
ESP000014,21.29,13.15,8.08,6.54,4.61,6.15,10.43,,7.51,12.3,5.59,4.68,3.32,2.25,1.04,2.17,11,,0.99,229,2.63,0.49,0.578,134.2,529.0,15.01,38.1,metalico
ESP000015,12.94,8.23,5.67,4.3,2.78,4.0,6.4,10.0,5.0,8.7,4.38,3.44,2.67,1.58,0.75,1.52,6,27.0,0.62,87,2.28,0.495,0.672,57.2,146.7,10.38,26.43,negro
ESP000016,9.71,5.89,5.98,5.01,,3.51,4.58,9.0,3.88,5.69,2.5,2.03,1.41,1.73,0.8,1.08,8,42.0,0.35,22,1.62,0.472,0.586,45.3,101.9,8.13,22.24,negro
ESP000017,19.46,12.21,7.92,6.27,,5.87,8.85,11.0,7.54,10.53,5.06,,3.21,2.3,1.12,1.73,12,47.0,0.91,220,2.46,0.455,0.541,120.2,452.4,14.8,37.52,metalico
ESP000018,16.62,10.52,6.82,5.4,3.55,5.75,8.24,10.0,6.44,9.57,4.35,4.13,2.65,1.88,0.8,1.77,12,54.0,0.87,151,2.44,0.496,,88.4,325.9,,36.06,marron
ESP000019,9.96,6.2,4.81,3.55,2.7,3.0,4.52,8.0,4.92,6.18,2.95,2.39,1.83,1.34,0.67,0.96,9,27.0,0.44,14,2.07,0.454,0.62,37.4,71.9,8.56,21.93,negro
ESP000020,17.91,11.23,6.64,5.82,3.43,5.82,8.48,11.0,6.42,10.35,4.41,4.41,3.0,1.85,0.91,2.08,12,54.0,0.97,157,2.7,0.473,0.578,92.8,,13.9,34.44,marron
ESP000021,11.73,7.32,7.27,5.72,3.95,3.42,4.79,9.0,5.39,6.58,2.72,2.78,1.99,2.18,1.1,1.54,7,20.0,0.96,48,1.61,0.408,0.561,66.5,145.8,8.3,23.87,rojizo
ESP000022,,14.53,9.06,7.35,4.93,6.37,10.2,,9.31,13.22,,5.44,3.69,2.47,1.33,2.2,8,65.0,1.02,284,2.62,0.429,0.557,167.8,685.3,17.56,44.18,metalico
ESP000023,19.49,12.37,7.7,5.96,4.23,5.98,9.0,11.0,7.44,11.2,5.01,4.86,3.03,2.25,1.05,1.84,11,,0.89,227,2.53,0.462,0.575,117.1,448.7,14.38,36.46,metalico
ESP000024,19.36,11.98,7.07,5.74,4.52,5.56,8.93,11.0,7.42,12.14,5.37,5.12,3.42,1.82,0.91,2.2,12,40.0,1.09,187,2.74,0.461,0.627,106.8,380.5,15.71,38.49,rojizo
ESP000025,12.92,8.2,5.83,4.54,3.04,3.73,6.04,10.0,5.11,7.21,3.54,3.1,1.53,1.6,0.78,1.31,7,34.0,0.77,83,2.22,0.467,0.558,58.8,140.5,9.65,25.13,rojizo
ESP000026,13.34,7.72,6.85,5.42,3.84,4.72,6.49,8.0,5.69,7.53,3.66,3.04,2.35,1.96,0.93,1.44,7,9.0,0.93,113,1.95,0.487,0.564,71.3,,9.6,26.05,negro
ESP000027,18.59,11.44,6.28,4.92,3.53,5.23,8.39,11.0,6.85,10.78,4.77,,2.98,1.67,0.84,2.02,13,38.0,1.09,190,2.96,0.451,0.58,91.1,305.3,14.92,36.12,metalico
ESP000028,13.69,8.73,6.37,5.02,3.63,4.27,6.61,9.0,5.58,8.64,3.69,3.69,2.4,1.72,0.87,1.48,8,50.0,0.92,92,2.15,,0.631,68.0,186.2,11.74,29.85,negro
ESP000029,10.29,6.61,5.4,4.18,2.95,4.0,4.96,8.0,5.24,6.87,3.36,3.09,1.87,1.56,0.66,1.14,8,39.0,0.5,21,1.91,0.482,0.668,43.3,111.1,9.43,24.26,negro
ESP000030,11.08,6.9,5.95,4.38,3.13,3.39,4.79,8.0,5.36,7.03,3.13,2.9,1.87,1.73,0.82,1.24,10,46.0,0.96,70,1.86,0.432,0.634,51.4,111.7,9.6,25.15,negro
ESP000031,23.78,14.96,9.65,7.6,5.28,7.15,10.49,,8.83,13.56,6.23,5.99,3.86,2.56,1.33,2.57,10,67.0,1.38,294,2.46,0.441,0.57,179.0,820.4,18.34,46.33,negro
ESP000032,12.22,7.53,7.1,5.73,3.86,4.3,5.47,10.0,5.98,7.86,3.58,3.55,2.25,1.94,0.93,1.17,7,56.0,0.45,61,1.72,0.448,0.643,67.7,186.5,9.07,25.24,negro
ESP000033,18.32,11.79,7.82,5.99,4.39,4.9,9.17,11.0,7.04,11.07,5.18,4.56,3.18,2.14,1.07,2.46,11,68.0,0.89,181,2.34,0.501,0.604,111.7,351.0,15.62,39.06,metalico
ESP000034,12.57,8.05,6.02,5.32,3.52,3.76,5.26,9.0,5.6,7.39,3.57,3.08,1.97,1.61,0.78,1.31,8,38.0,0.76,81,2.09,0.418,0.588,59.0,142.3,8.6,23.22,negro
ESP000035,17.48,11.1,5.88,4.88,3.39,,6.66,12.0,6.09,9.53,4.28,4.06,2.6,1.67,0.7,1.69,10,36.0,0.82,171,2.97,0.381,0.545,80.2,229.7,13.54,32.96,negro
ESP000036,12.89,8.11,5.73,4.3,,4.36,5.73,,5.65,7.2,3.39,3.23,2.38,1.55,0.78,1.05,7,21.0,0.82,62,2.25,0.445,0.559,57.6,161.0,8.67,23.07,marron
ESP000037,,6.28,5.15,4.05,2.72,3.86,5.48,8.0,5.17,6.38,2.89,,1.88,1.35,0.69,1.14,7,36.0,0.63,59,1.99,0.535,0.623,41.1,101.8,8.48,22.11,negro
ESP000038,22.43,14.07,7.71,6.28,4.29,6.27,10.74,12.0,7.97,12.44,5.6,5.4,3.54,2.15,1.24,2.03,10,,1.19,261,2.91,0.479,0.555,134.9,542.2,16.85,41.41,marron
