id_registro,temp_max_c,temp_min_c,temp_media_c,amplitud_termica_c,radiacion_solar_wm2,radiacion_uv_indice,horas_sol,humedad_pct,humedad_min_pct,viento_kmh,viento_max_kmh,direccion_viento_deg,presion_atm_hpa,no2_ugm3,no_ugm3,nox_ugm3,cov_precursores,co_mgm3,so2_ugm3,pm10_ugm3,o3_dia_previo_ugm3,o3_media_movil_3d,temp_dia_previo_c,gradiente_temp_c,altura_capa_mezcla_m,indice_estabilidad,precipitacion_mm,horas_desde_lluvia,alerta_ozono
OZN000000,34.0,20.1,27.0,,713,10,10.9,47.0,18,11.1,17.0,142,1016,39,17,56.0,68.0,0.39,8.4,30.0,60,58,36.8,0.76,1832,-2.5,1.9,75.0,1
OZN000001,25.1,15.5,20.3,9.6,663,7,7.5,57.0,28,14.0,28.0,61,1002,24,7,27.0,30.0,0.28,5.3,31.0,31,8,23.3,0.09,902,-1.9,3.0,117.0,0
OZN000002,26.1,14.2,20.2,11.9,334,7,6.5,58.0,36,13.1,24.0,58,1019,21,10,31.0,,0.32,8.9,42.0,91,89,26.6,0.25,1266,-0.8,5.9,22.0,0
OZN000003,21.0,11.5,16.2,9.5,628,4,,65.0,36,10.0,28.0,101,1016,39,13,57.0,41.0,0.48,5.9,31.0,79,73,17.7,0.43,1120,1.4,7.5,27.0,0
OZN000004,27.2,11.0,19.1,16.2,568,7,8.9,55.0,29,12.3,26.0,183,1013,35,15,52.0,,0.39,5.1,24.0,74,67,28.9,0.36,1487,-0.5,5.4,72.0,0
OZN000005,31.4,18.3,24.8,13.1,566,6,9.5,54.0,21,12.4,21.0,229,1017,43,20,69.0,50.0,,6.6,42.0,78,83,35.1,0.32,1337,1.0,3.5,54.0,0
OZN000006,32.4,17.9,25.2,14.5,795,8,10.5,39.0,8,8.8,23.0,144,1023,30,7,41.0,39.0,0.24,8.5,16.0,50,52,32.2,0.5,1611,2.6,1.4,154.0,0
OZN000007,31.9,20.1,26.0,11.8,884,9,10.8,31.0,14,6.1,,119,1021,32,13,50.0,65.0,0.42,8.3,32.0,132,145,37.7,0.67,1524,2.6,0.0,101.0,1
OZN000008,22.8,14.3,18.6,,458,5,7.2,78.0,41,17.6,49.0,169,1005,29,11,,,0.33,12.1,17.0,85,75,19.6,0.02,1283,-2.3,6.1,50.0,0
OZN000009,38.5,23.1,30.8,15.4,889,10,13.5,16.0,8,5.4,14.0,194,1018,42,17,74.0,68.0,0.6,4.1,37.0,97,86,45.1,0.8,1724,5.8,0.0,0.0,1
OZN000010,18.5,,15.0,7.1,243,3,3.6,,65,16.3,36.0,189,1009,22,8,30.0,2.0,0.3,13.3,24.0,19,5,8.0,-0.08,738,-2.4,11.6,5.0,0
OZN000011,18.0,9.8,13.9,8.2,283,3,3.5,77.0,54,17.6,43.0,143,1013,13,1,16.0,14.0,0.3,5.3,9.0,10,10,11.6,0.64,792,-2.8,10.5,32.0,0
OZN000012,27.7,14.3,21.0,13.4,675,6,7.6,57.0,34,,31.0,122,1011,28,15,56.0,46.0,0.47,8.2,,77,65,23.0,1.0,1769,1.8,2.9,81.0,0
OZN000013,26.3,15.7,21.0,10.6,530,5,7.5,58.0,33,15.4,34.0,320,1011,20,13,39.0,39.0,0.25,3.9,31.0,60,63,26.5,0.54,1044,-1.2,5.8,56.0,0
OZN000014,31.1,18.9,25.0,12.2,677,9,9.0,56.0,21,16.0,38.0,148,1013,31,8,42.0,48.0,0.49,15.3,26.0,49,47,34.0,0.86,1325,-0.4,3.7,45.0,0
OZN000015,34.0,19.2,26.6,14.8,795,9,10.8,41.0,17,6.9,19.0,133,1024,7,1,11.0,47.0,,5.5,13.0,50,32,39.5,0.57,1478,2.8,0.4,86.0,0
OZN000016,27.3,15.5,21.4,11.8,494,6,8.7,48.0,33,11.9,31.0,349,1011,45,29,87.0,51.0,0.56,3.6,35.0,54,50,26.2,0.7,834,-1.0,4.4,,0
OZN000017,22.4,9.5,16.0,12.9,490,5,5.2,68.0,41,13.6,28.0,15,1008,57,28,105.0,46.0,0.8,14.0,37.0,73,83,18.0,-0.02,1146,-0.6,5.9,64.0,0
OZN000018,28.5,15.3,21.9,13.2,570,6,9.0,63.0,50,10.9,19.0,205,1014,47,29,98.0,44.0,0.79,12.8,40.0,74,59,25.0,0.89,1615,-2.9,5.1,106.0,0
OZN000019,,,22.2,12.9,477,5,8.5,55.0,35,11.9,26.0,50,1016,26,12,,37.0,0.17,9.8,10.0,102,109,28.0,0.43,1097,3.3,4.7,85.0,0
