id_especimen,longitud_total_mm,longitud_elitro_mm,anchura_max_mm,anchura_pronoto_mm,anchura_cabeza_mm,altura_cuerpo_mm,peso_mg,longitud_antena_mm,num_segmentos_antena,longitud_pata_posterior_mm,longitud_femur_mm,longitud_tibia_mm,longitud_ala_mm,envergadura_mm,num_manchas,diametro_mancha_mm,num_estrias_elitro,distancia_interocular_mm,diametro_ojo_mm,longitud_mandibula_mm,ratio_largo_ancho,ratio_antena_cuerpo,ratio_ala_cuerpo,area_dorsal_mm2,volumen_estimado_mm3,densidad_setas,intensidad_color,especie_invasora
INV000000,21.04,12.99,9.19,7.29,4.71,6.51,324,11.29,10,11.71,5.45,4.86,17.39,43.97,5,0.81,7,2.2,0.91,2.38,2.29,0.537,0.827,150.8,435.1,11,110,1
INV000001,15.56,9.61,6.94,5.52,3.74,4.02,130,6.84,11,9.2,4.42,3.9,12.2,31.34,5,0.63,9,1.87,0.71,1.39,2.24,0.44,0.784,84.2,243.0,10,115,0
INV000002,15.94,9.82,6.75,5.23,3.69,4.54,127,7.65,9,8.11,3.84,3.34,11.93,30.61,6,0.95,10,1.78,0.92,1.49,2.36,0.48,0.748,83.9,242.1,10,71,1
INV000003,16.16,10.38,7.71,6.0,4.06,4.5,196,7.8,10,9.18,4.43,4.11,12.96,33.63,4,0.66,7,1.97,0.99,1.7,2.1,0.483,0.802,97.2,280.3,16,99,0
INV000004,18.09,11.46,8.76,6.64,4.78,5.52,218,8.98,10,10.99,5.14,4.34,14.23,37.22,4,0.31,8,2.21,1.23,1.57,2.07,0.496,0.787,123.6,356.6,8,101,0
INV000005,12.8,7.72,6.61,5.14,3.27,3.77,85,6.15,9,7.84,3.55,3.12,10.03,26.67,6,0.15,7,1.65,0.64,1.1,1.94,0.48,0.784,66.0,190.4,11,65,0
INV000006,15.76,10.19,9.1,7.07,4.6,4.59,217,6.92,8,10.02,4.37,4.48,10.81,30.72,0,0.08,5,2.29,1.31,1.02,1.73,0.439,0.686,111.9,322.7,4,10,0
INV000007,12.74,8.18,4.71,3.6,2.43,3.67,47,7.19,10,6.5,2.96,2.59,10.86,26.43,9,0.63,10,1.0,1.15,1.59,2.7,0.564,0.852,46.8,135.0,13,126,0
INV000008,17.23,10.96,6.51,4.94,3.4,3.57,199,8.35,11,9.42,4.25,3.79,14.75,36.01,9,1.11,13,1.76,0.79,2.05,2.65,0.485,0.856,87.5,252.4,15,160,0
INV000009,18.57,11.7,6.0,4.48,3.1,4.95,223,10.3,10,9.48,4.38,4.38,15.73,37.46,12,1.42,12,1.43,1.24,2.33,3.1,0.555,0.847,86.9,250.7,21,159,0
INV000010,13.31,7.92,6.54,4.9,3.4,3.5,119,6.43,10,8.13,3.88,3.41,11.34,29.22,6,0.85,8,1.75,0.81,1.14,2.04,0.483,0.852,67.9,195.9,17,106,0
INV000011,16.05,9.89,7.34,5.57,3.68,4.37,151,7.73,11,8.38,3.9,3.66,12.87,33.08,6,0.73,9,1.77,1.28,1.62,2.19,0.482,0.802,91.9,265.1,17,146,0
INV000012,11.82,7.11,6.13,4.61,3.0,3.38,39,5.93,9,7.28,3.16,3.01,9.82,25.77,7,0.78,8,1.61,0.62,1.03,1.93,0.502,0.831,56.5,163.0,3,98,0
INV000013,17.31,10.93,8.12,6.56,4.0,5.16,225,7.07,9,9.38,4.3,3.53,13.17,34.46,1,0.47,9,2.05,0.84,1.04,2.13,0.408,0.761,109.6,316.3,7,37,0
INV000014,15.36,9.59,6.97,5.56,3.59,3.73,133,8.54,10,8.4,4.24,3.71,12.42,31.81,11,1.25,11,1.74,0.55,1.92,2.2,0.556,0.809,83.5,240.9,18,197,0
INV000015,12.5,7.32,5.66,4.19,2.78,4.03,52,6.35,10,7.69,3.63,3.53,10.78,27.22,7,0.88,9,1.55,0.53,1.74,2.21,0.508,0.862,55.2,159.2,18,175,0
INV000016,12.35,7.22,5.4,4.25,2.88,3.28,72,6.66,12,8.25,3.74,3.64,11.05,27.5,6,0.62,6,1.65,0.7,1.06,2.29,0.539,0.895,52.0,150.1,13,85,0
INV000017,14.45,8.86,4.44,3.37,2.15,3.94,71,7.18,9,7.55,3.44,3.4,12.57,29.58,12,1.14,14,1.33,0.77,1.89,3.25,0.497,0.87,50.0,144.4,21,167,1
INV000018,18.92,11.8,8.23,6.55,4.24,5.57,243,9.11,10,10.95,4.79,4.39,14.26,36.75,5,0.77,7,2.23,0.92,1.79,2.3,0.482,0.754,121.5,350.4,6,74,0
INV000019,17.97,11.45,6.7,5.29,3.37,4.83,224,8.89,9,9.8,4.52,4.34,15.25,37.2,6,0.75,12,1.8,1.47,1.75,2.68,0.495,0.849,93.9,270.9,18,157,0
INV000020,15.8,9.82,7.14,5.75,3.54,4.5,134,7.21,10,8.26,3.63,3.01,12.12,31.38,7,0.72,10,1.88,1.02,1.57,2.21,0.456,0.767,88.0,253.8,8,110,0
INV000021,16.69,10.2,6.79,5.55,3.49,4.38,163,7.44,11,9.34,4.47,3.91,12.25,31.29,6,0.87,10,1.67,1.27,1.39,2.46,0.446,0.734,88.4,255.0,15,132,0
INV000022,16.65,10.19,8.13,5.92,4.26,4.4,169,8.48,12,10.22,4.73,4.32,14.16,36.45,3,0.76,9,1.96,0.64,1.69,2.05,0.509,0.85,105.6,304.6,7,104,0
INV000023,11.31,7.09,5.48,4.52,2.65,3.48,53,5.89,12,6.61,2.78,2.59,9.78,25.04,4,0.51,8,1.49,0.66,0.83,2.06,0.521,0.865,48.3,139.5,11,84,0
INV000024,14.09,8.79,4.63,3.43,2.54,4.05,91,8.78,10,7.88,3.69,3.51,11.44,27.51,12,1.11,10,1.29,0.7,1.63,3.04,0.623,0.812,50.9,146.8,20,166,0
INV000025,18.69,11.62,7.37,5.74,3.72,5.21,249,9.7,11,9.85,4.62,4.34,15.27,37.91,7,0.89,9,1.95,0.99,1.9,2.54,0.519,0.817,107.4,309.9,14,147,0
INV000026,12.24,7.42,8.0,6.05,4.32,4.12,119,6.39,10,8.2,4.17,3.7,10.98,29.96,3,0.41,7,2.08,0.79,1.19,1.53,0.522,0.897,76.4,220.3,3,46,0
INV000027,15.48,9.6,5.78,4.68,3.04,3.68,140,8.15,9,8.09,3.66,3.23,10.39,26.56,8,1.06,9,1.63,0.84,1.76,2.68,0.526,0.671,69.8,201.3,17,184,0
INV000028,16.99,10.63,7.36,5.87,3.48,4.77,191,8.42,10,8.75,4.05,3.22,13.03,33.42,6,0.59,10,1.94,0.43,1.59,2.31,0.496,0.767,97.5,281.4,10,82,0
INV000029,12.33,7.6,6.75,5.11,3.51,3.6,94,5.93,10,8.17,3.94,3.21,10.71,28.17,4,0.36,9,1.66,0.95,1.18,1.83,0.481,0.869,64.9,187.3,4,129,0
INV000030,15.65,9.23,6.18,4.79,3.05,4.0,124,7.53,10,8.57,4.23,3.73,13.36,32.9,8,1.09,11,1.6,1.45,1.7,2.53,0.481,0.854,75.4,217.6,15,149,0
INV000031,15.62,9.52,8.31,6.55,4.35,4.6,170,6.94,9,9.92,4.54,4.12,12.06,32.43,0,0.78,8,1.93,0.8,1.57,1.88,0.444,0.772,101.2,292.1,7,49,0
INV000032,13.69,8.47,5.59,4.54,2.9,3.53,118,7.8,9,8.55,3.96,3.69,12.3,30.19,7,0.77,13,1.38,0.63,1.46,2.45,0.57,0.898,59.7,172.2,15,144,0
INV000033,14.36,8.97,6.73,5.31,3.37,4.53,142,7.19,9,7.6,3.52,2.97,12.91,32.55,3,0.93,8,1.64,0.78,1.02,2.13,0.501,0.899,75.4,217.4,10,107,0
INV000034,18.6,11.55,7.99,6.24,3.99,4.97,280,9.03,11,10.27,4.85,3.9,13.99,35.97,3,0.64,8,2.16,0.81,1.67,2.33,0.485,0.752,115.9,334.4,2,100,0
INV000035,14.35,9.18,5.72,4.48,2.99,3.22,141,6.73,12,8.45,3.85,3.19,12.26,30.24,6,0.84,7,1.63,0.59,1.34,2.51,0.469,0.854,64.0,184.7,19,98,0
INV000036,14.25,9.24,7.25,5.67,3.8,3.73,100,6.67,9,7.22,3.46,2.99,11.26,29.77,5,0.64,8,1.87,0.92,1.25,1.97,0.468,0.79,80.6,232.5,13,69,0
INV000037,10.26,6.19,4.84,3.91,2.35,3.51,36,5.87,10,6.44,2.57,2.77,8.78,22.4,1,0.63,7,1.15,1.07,0.62,2.12,0.572,0.856,38.7,111.7,11,63,0
INV000038,19.33,12.0,8.12,6.57,4.4,5.06,251,9.36,12,10.86,4.84,4.39,15.47,39.06,6,0.43,11,2.11,0.96,1.82,2.38,0.484,0.8,122.4,353.2,11,137,1
INV000039,17.54,11.05,7.21,5.68,3.91,4.86,185,10.02,10,9.61,4.24,4.08,14.12,35.45,9,1.02,10,1.91,0.75,2.06,2.43,0.571,0.805,98.6,284.5,16,166,1
INV000040,18.14,11.28,7.64,6.36,3.87,4.54,195,8.08,10,10.66,4.77,4.78,14.59,36.82,6,0.97,9,2.1,0.93,1.87,2.37,0.445,0.804,108.1,311.8,13,189,1
INV000041,14.82,8.92,7.46,5.8,3.8,4.65,151,7.74,10,7.74,3.44,2.98,11.5,30.46,5,0.66,8,1.89,0.94,1.37,1.99,0.522,0.776,86.2,248.8,11,74,0
INV000042,12.85,7.71,4.6,3.27,2.63,3.97,31,7.35,12,7.02,2.99,2.93,10.91,26.42,9,1.13,9,1.0,0.63,1.7,2.79,0.572,0.849,46.1,133.0,20,183,0
INV000043,15.83,9.95,7.59,5.86,3.94,4.8,205,7.64,10,9.16,4.12,3.7,11.3,30.19,2,0.7,9,1.94,0.78,1.15,2.09,0.483,0.714,93.7,270.3,4,30,0
INV000044,14.18,9.1,5.19,3.94,2.64,3.56,105,7.37,10,7.65,3.87,2.88,12.4,29.99,7,0.94,10,1.27,1.43,1.45,2.73,0.52,0.874,57.4,165.6,10,147,0
INV000045,18.79,11.93,6.82,5.4,3.33,5.25,217,9.99,10,9.37,4.6,3.83,15.33,37.48,13,0.98,10,1.69,1.43,2.1,2.76,0.532,0.816,100.0,288.3,19,192,1
INV000046,19.95,12.27,7.63,5.89,3.78,5.76,241,9.58,9,11.49,5.18,4.96,15.28,38.19,6,0.62,10,1.88,1.14,1.7,2.61,0.48,0.766,118.7,342.5,12,137,1
INV000047,19.2,11.85,8.52,6.86,4.39,4.95,290,9.82,10,10.78,4.97,4.68,16.93,42.38,4,1.01,10,2.04,0.98,2.11,2.25,0.511,0.882,127.6,368.1,14,56,1
INV000048,17.22,10.65,6.7,5.43,3.39,5.02,206,8.83,12,9.75,4.68,4.17,13.67,34.04,7,1.02,9,1.79,1.05,2.02,2.57,0.513,0.794,90.0,259.6,13,107,1
INV000049,12.32,7.54,6.15,4.44,3.2,3.29,99,6.19,12,7.94,3.42,3.28,10.42,26.99,3,0.59,8,1.68,0.97,0.97,2.0,0.502,0.846,59.1,170.5,3,47,0
INV000050,15.07,9.55,6.12,4.73,3.13,3.87,131,7.64,10,8.73,3.63,3.39,12.58,31.28,6,0.87,10,1.52,1.14,1.62,2.46,0.507,0.835,71.9,207.5,19,173,1
INV000051,19.44,11.73,8.82,6.93,4.6,5.89,286,9.15,13,10.58,5.06,4.53,15.61,40.04,6,0.71,9,2.39,1.03,1.89,2.2,0.471,0.803,133.7,385.8,9,136,0
INV000052,16.06,9.88,8.74,6.91,4.47,4.15,161,7.05,11,10.06,4.65,4.12,12.19,33.12,2,0.38,6,2.26,0.88,1.53,1.84,0.439,0.759,109.5,315.8,7,96,1
INV000053,16.91,10.47,5.03,3.84,2.54,3.96,118,8.7,11,7.93,3.6,3.4,13.38,31.79,11,1.24,14,1.46,0.76,2.45,3.36,0.514,0.791,66.3,191.4,26,211,0
INV000054,15.75,9.6,5.67,4.62,2.66,4.62,154,8.31,10,8.26,3.97,3.54,13.73,33.13,9,1.17,9,1.55,1.34,1.75,2.78,0.528,0.872,69.7,200.9,15,164,0
INV000055,16.1,9.95,7.06,5.57,3.49,4.11,177,7.62,9,9.43,4.52,4.16,13.48,34.02,5,0.94,7,1.88,0.89,1.63,2.28,0.473,0.837,88.7,255.7,9,167,0
INV000056,16.57,10.4,8.14,6.35,4.22,4.75,188,7.52,10,9.28,4.39,4.12,13.14,34.42,5,0.51,8,2.22,1.12,1.42,2.04,0.454,0.793,105.2,303.5,11,115,0
INV000057,14.4,9.06,6.77,4.97,3.62,3.91,123,6.48,10,7.9,3.57,2.94,11.29,29.35,6,1.11,7,1.62,1.07,1.23,2.13,0.45,0.784,76.0,219.3,9,112,0
INV000058,18.46,11.25,6.3,4.69,3.39,4.99,232,9.9,9,10.09,4.47,4.31,15.03,36.36,10,1.04,10,1.45,1.12,1.95,2.93,0.536,0.814,90.7,261.7,16,189,1
INV000059,14.56,9.02,7.26,5.83,3.84,4.34,122,7.03,8,8.66,4.31,3.39,11.97,31.2,5,0.56,7,1.9,0.45,1.34,2.01,0.483,0.822,82.5,237.8,11,92,0
INV000060,9.77,6.08,5.73,4.29,3.01,2.96,46,4.03,10,6.49,3.17,2.8,7.87,21.47,0,0.45,6,1.58,0.75,0.68,1.71,0.412,0.806,43.7,126.0,8,10,0
INV000061,14.36,8.87,5.93,4.73,3.19,3.85,103,7.12,11,7.77,3.62,3.11,12.53,30.99,9,1.18,10,1.44,0.68,1.77,2.42,0.496,0.873,66.4,191.6,17,122,0
INV000062,14.66,8.69,7.01,5.37,3.74,4.32,143,6.45,10,9.26,4.22,3.9,11.87,30.75,3,0.8,7,1.87,0.49,1.14,2.09,0.44,0.81,80.2,231.2,15,42,0
INV000063,14.97,9.18,8.05,6.34,4.18,4.16,177,6.86,12,8.15,4.08,3.45,12.52,33.09,0,0.33,8,1.88,1.32,1.05,1.86,0.458,0.836,94.0,271.1,9,51,0
INV000064,12.58,7.76,5.84,4.4,3.09,4.07,123,7.0,10,8.13,3.75,3.31,10.1,26.04,1,0.13,8,1.56,0.57,0.94,2.15,0.556,0.803,57.3,165.3,7,57,0
INV000065,16.88,10.7,6.82,4.98,3.63,4.24,190,9.02,13,9.4,3.98,3.95,14.4,35.62,8,1.16,9,1.77,0.69,2.22,2.48,0.534,0.853,89.8,259.0,16,179,1
INV000066,15.83,9.92,6.48,5.11,3.3,4.12,186,8.19,9,9.26,4.37,3.91,13.38,33.24,6,0.83,8,1.73,0.91,1.43,2.44,0.517,0.845,80.0,230.8,16,148,0
INV000067,20.71,13.17,8.13,6.18,4.1,5.52,265,11.04,9,10.87,5.06,4.44,16.13,40.39,12,1.12,11,1.9,1.12,2.4,2.55,0.533,0.779,131.3,378.8,18,190,1
INV000068,12.68,7.89,5.23,3.82,2.86,2.84,50,5.82,10,7.23,3.43,2.84,9.94,25.11,4,0.64,8,1.3,0.92,0.97,2.42,0.459,0.784,51.7,149.2,12,81,0
INV000069,13.0,8.01,5.73,4.58,2.98,4.72,127,7.04,11,8.43,3.72,3.58,11.28,28.29,6,0.3,9,1.5,0.97,1.23,2.27,0.542,0.868,58.1,167.6,10,98,0
INV000070,9.12,5.41,6.43,5.21,3.58,3.16,10,2.72,11,6.11,2.9,2.41,6.55,19.53,1,0.0,7,1.6,0.9,0.46,1.42,0.298,0.718,45.7,131.9,0,60,0
INV000071,16.44,9.94,6.93,5.66,3.41,3.93,134,7.48,10,9.08,3.83,3.68,13.31,33.55,6,0.49,11,1.77,0.99,1.72,2.37,0.455,0.81,88.9,256.3,10,107,0
INV000072,17.29,10.93,8.47,6.78,4.42,4.65,235,7.4,10,11.15,5.07,4.57,12.85,34.17,5,0.57,8,2.16,0.23,1.38,2.04,0.428,0.743,114.2,329.5,8,89,0
