id_prestamo,edad,ingresos_mensuales_eur,ingresos_conyuge_eur,importe_prestamo_eur,plazo_meses,cuota_mensual_eur,ratio_endeudamiento,ratio_cuota_ingreso,antiguedad_empleo_anos,antiguedad_cliente_anos,num_prestamos_previos,num_prestamos_activos,num_impagos_previos,dias_mora_max_historico,score_credito,score_externo,saldo_medio_cuenta_eur,num_productos_contratados,patrimonio_declarado_eur,num_consultas_buro_6m,tasa_interes_pct,gastos_fijos_mensuales_eur,finalidad,tipo_empleo,regimen_vivienda,nivel_estudios,sector_actividad,tiene_avalista,impago
PRE000000,37,2187.0,248.0,11423,24,514.0,23.5,21.1,2.5,0.3,1.0,0,0,10,715,762,5242.0,5.0,88375,1,8.3,740.0,consumo,fijo,alquiler,medio,publico,si,0
PRE000001,29,2467.0,846.0,13183,48,,12.0,9.0,,8.3,2.0,1,0,24,537,568,-953.0,,0,0,10.4,772.0,consumo,funcionario,alquiler,basico,servicios,no,0
PRE000002,36,3148.0,1957.0,7351,120,66.0,2.1,1.3,0.6,1.6,2.0,0,1,6,711,591,7292.0,5.0,127334,1,6.2,864.0,consumo,funcionario,alquiler,medio,construccion,no,0
PRE000003,43,1198.0,898.0,8896,96,100.0,8.3,4.8,1.3,2.2,3.0,1,1,43,425,445,-1352.0,4.0,0,6,,660.0,coche,fijo,hipoteca,basico,industria,si,1
PRE000004,67,1627.0,0.0,8138,24,366.0,22.5,22.5,0.1,1.5,,1,1,37,559,470,,3.0,0,1,,303.0,consumo,fijo,hipoteca,superior,industria,no,0
PRE000005,47,3295.0,54.0,9188,120,83.0,2.5,,8.1,0.3,1.0,1,1,11,733,702,5065.0,4.0,96586,4,4.2,2006.0,coche,fijo,alquiler,medio,industria,no,0
PRE000006,31,,1406.0,24469,12,2202.0,50.0,37.9,13.2,7.6,3.0,1,0,4,718,707,,3.0,112325,2,7.2,1826.0,negocio,temporal,alquiler,medio,servicios,si,0
PRE000007,36,1643.0,0.0,6699,72,100.0,6.1,,3.6,0.9,1.0,1,1,46,601,580,-868.0,2.0,0,1,12.0,,estudios,fijo,propiedad,medio,servicios,si,0
PRE000008,38,2315.0,363.0,7386,24,332.0,14.4,12.4,2.8,3.0,1.0,1,0,59,666,653,2087.0,3.0,56815,2,9.0,642.0,consumo,autonomo,alquiler,medio,agrario,no,0
PRE000009,53,1120.0,1022.0,17790,12,1601.0,142.8,74.7,24.0,15.3,,1,0,14,621,586,2279.0,3.0,49184,1,10.2,239.0,estudios,fijo,alquiler,medio,publico,no,1
PRE000010,49,,1001.0,4192,96,,0.7,,7.6,17.5,1.0,2,0,0,767,752,5624.0,,159556,0,5.1,3713.0,coche,fijo,propiedad,superior,agrario,no,0
PRE000011,40,,139.0,8036,12,723.0,30.5,28.8,,17.2,0.0,1,0,31,598,569,255.0,,76190,2,6.6,484.0,vivienda,fijo,hipoteca,basico,industria,no,1
PRE000012,36,1562.0,893.0,27962,12,2517.0,161.0,102.5,1.2,2.3,3.0,1,0,23,585,620,2930.0,0.0,2816,1,8.4,231.0,negocio,autonomo,alquiler,basico,publico,no,1
PRE000013,65,1697.0,0.0,4930,72,74.0,4.4,4.4,3.9,12.3,2.0,1,0,19,571,505,2374.0,4.0,0,1,9.1,,consumo,autonomo,propiedad,basico,servicios,no,0
PRE000014,33,2526.0,677.0,15992,12,1439.0,57.0,44.9,3.1,14.3,0.0,1,0,30,720,825,6748.0,6.0,92205,0,3.1,470.0,vivienda,temporal,alquiler,basico,servicios,no,1
