id_parcela,temp_media_c,temp_max_c,temp_min_c,humedad_pct,humedad_suelo_pct,precipitacion_mm,precipitacion_acum_30d_mm,horas_humectacion_foliar,ndvi,ndwi,indice_estres_hidrico,dias_desde_tratamiento,num_tratamientos_campana,densidad_plantas_m2,ph_suelo,materia_organica_pct,nitrogeno_ppm,conductividad_suelo,altitud_m,pendiente_pct,dist_foco_plaga_km,trampas_capturas_num,grados_dia_acumulados,indice_presion_plaga,cobertura_vegetal_pct,edad_cultivo_dias,tipo_cultivo,sistema_riego,uso_fitosanitario,variedad_resistente,manejo,perdida_cosecha
CSC000000,21.8,31.5,13.9,68,22.6,67,83,12.2,0.67,0.44,0.16,3,2,156,6.1,2.0,12,1.03,225,11.9,23.1,8,1225,37,59,51,olivo,goteo,no,no,integrado,0
CSC000001,15.2,24.0,5.3,53,17.1,44,73,6.4,0.65,0.06,0.31,18,2,161,6.8,2.8,18,0.96,396,12.2,0.3,12,424,40,56,125,maiz,goteo,si,no,integrado,0
CSC000002,11.1,15.8,-0.0,54,16.0,39,13,2.1,0.7,-0.25,0.18,21,2,172,6.5,1.3,11,0.15,582,12.2,5.0,4,330,15,62,39,maiz,goteo,si,si,integrado,0
CSC000003,24.2,33.4,17.3,69,26.4,12,147,10.9,0.51,0.34,0.4,21,2,137,6.9,0.4,10,0.87,485,11.0,4.3,37,779,44,59,98,citricos,goteo,no,no,integrado,0
CSC000004,26.2,34.4,20.9,73,24.2,56,111,6.7,0.49,0.27,0.52,5,2,230,6.7,1.7,16,0.58,400,0.0,7.1,29,1144,47,79,80,maiz,secano,no,no,integrado,1
CSC000005,16.8,21.1,7.2,59,17.8,3,56,1.9,0.69,0.0,0.26,17,4,194,6.6,1.0,24,0.66,356,0.0,1.7,24,801,31,89,118,citricos,secano,si,si,ecologico,1
CSC000006,17.6,23.5,9.4,67,22.7,46,112,9.0,0.69,0.2,0.22,0,4,175,6.4,2.1,28,1.32,408,0.0,23.4,9,1032,24,96,5,trigo,aspersion,si,no,integrado,0
CSC000007,23.7,33.1,18.5,55,29.9,35,88,4.7,0.55,0.2,0.5,17,1,129,6.2,2.9,37,0.44,608,15.8,3.2,28,1238,38,57,71,horticola,aspersion,si,no,convencional,0
CSC000008,25.3,36.5,17.5,62,26.8,51,99,9.5,0.73,0.3,0.15,59,4,155,7.0,2.7,17,0.42,481,17.6,50.0,0,1019,22,57,181,maiz,secano,si,no,convencional,0
CSC000009,25.1,35.3,19.8,71,23.3,72,155,11.8,0.66,0.69,0.22,3,2,100,5.3,3.2,24,0.1,331,4.3,11.6,11,1112,42,72,53,olivo,goteo,no,si,convencional,0
CSC000010,17.1,24.9,8.9,49,21.2,25,59,3.2,0.64,-0.3,0.34,5,2,119,6.8,2.3,30,0.82,297,12.7,7.4,3,627,21,57,57,olivo,aspersion,si,si,integrado,0
CSC000011,19.8,27.0,13.6,79,29.5,25,53,11.0,0.7,0.39,0.24,9,1,163,6.2,1.5,14,0.68,605,7.1,26.0,16,703,39,53,45,vid,secano,no,no,integrado,0
CSC000012,29.2,41.5,23.2,66,32.1,53,128,5.9,0.54,0.21,0.55,38,4,220,6.9,3.4,26,0.5,666,11.7,1.4,26,1242,52,82,55,olivo,secano,no,no,ecologico,0
CSC000013,23.2,31.9,15.3,37,10.5,11,28,0.0,0.7,-0.5,0.27,6,4,189,6.5,3.2,19,0.96,519,3.9,0.4,7,910,27,68,126,horticola,secano,no,si,integrado,0
CSC000014,22.0,31.3,14.9,57,24.1,45,82,13.2,0.72,0.12,0.33,5,8,242,6.3,3.6,20,0.5,414,16.2,13.2,1,1121,23,49,26,trigo,aspersion,si,si,integrado,0
