id_zona,ndvi,ndre,ndwi,indice_clorofila_spad,temp_canopia_c,humedad_suelo_pct,indice_estres_hidrico,nitrogeno_foliar_pct,fosforo_suelo_ppm,potasio_suelo_ppm,capturas_trampa_num,dist_foco_plaga_m,horas_humectacion_foliar,tipo_cultivo,fase_fenologica,sistema_riego,tipo_estres_dominante
EST000000,0.76,0.311,0.22,54.9,27.8,20.8,0.45,3.69,24,201,3,262,9.6,maiz,germinacion,secano,hidrico
EST000001,0.73,0.374,0.21,47.9,25.5,26.0,0.35,3.6,27,173,25,185,11.0,citricos,floracion,goteo,biotico
EST000002,0.53,0.212,-0.04,49.3,33.8,9.6,0.73,3.04,15,161,25,198,,horticola,vegetativo,secano,hidrico
EST000003,0.69,0.266,0.33,40.4,19.8,31.6,0.4,,14,120,3,362,10.6,citricos,maduracion,secano,nutricional
EST000004,0.64,0.25,0.2,34.6,22.8,18.2,0.5,2.04,16,119,5,252,5.9,trigo,maduracion,secano,nutricional
EST000005,0.74,0.389,0.37,48.1,23.8,34.0,0.22,3.79,22,238,26,300,6.3,horticola,germinacion,aspersion,sin_estres
EST000006,0.72,,0.32,40.0,25.3,32.3,0.32,,16,175,15,194,6.3,vid,floracion,aspersion,nutricional
EST000007,0.73,0.377,0.18,41.5,23.3,24.3,0.65,3.14,22,164,14,291,7.8,trigo,maduracion,secano,sin_estres
EST000008,0.81,0.442,0.32,50.9,27.9,24.8,0.38,3.38,28,211,3,260,5.8,horticola,vegetativo,secano,sin_estres
EST000009,0.65,0.274,0.16,,25.5,21.0,0.48,2.97,19,166,12,251,5.7,maiz,floracion,aspersion,hidrico
EST000010,0.64,0.317,0.4,43.0,23.9,28.9,0.36,,18,158,16,193,12.1,citricos,floracion,secano,biotico
EST000011,0.67,0.283,0.16,,29.1,16.9,0.79,3.07,21,170,5,320,7.5,citricos,maduracion,secano,hidrico
EST000012,0.79,0.284,0.39,43.8,22.9,36.4,0.25,2.84,22,154,12,217,12.2,maiz,maduracion,goteo,sin_estres
EST000013,0.61,0.245,0.3,44.0,29.8,33.1,0.35,2.22,15,106,4,313,5.9,maiz,vegetativo,goteo,sin_estres
EST000014,0.84,0.343,0.56,39.8,19.2,48.1,0.0,3.32,19,135,18,337,11.7,trigo,maduracion,goteo,sin_estres
EST000015,0.72,0.313,0.45,40.2,12.5,39.7,0.11,2.31,17,153,22,186,12.6,horticola,floracion,goteo,nutricional
EST000016,0.65,0.397,0.3,49.3,29.8,28.7,0.42,3.24,18,184,32,212,13.3,maiz,floracion,goteo,biotico
EST000017,0.69,0.313,0.14,37.5,26.5,24.5,0.45,2.22,17,166,0,324,7.7,horticola,floracion,goteo,nutricional
EST000018,0.7,0.348,0.39,38.8,18.2,32.9,0.16,2.96,17,134,21,184,13.1,horticola,floracion,secano,nutricional
