id_zona,materia_organica_pct,nitrogeno_ppm,fosforo_ppm,potasio_ppm,ph_suelo,cic,profundidad_suelo_cm,humedad_suelo_pct,agua_disponible_mm,precipitacion_campana_mm,temp_media_campana_c,pendiente_pct,ndvi_medio,ndvi_max,tipo_suelo,sistema_riego,variedad,clase_productividad
ZON000000,2.5,26.0,24,191,,19.8,74.0,32.6,229,,18.9,9.7,0.58,0.77,franco,aspersion,tradicional,alta
ZON000001,4.5,46.0,24,214,6.4,26.2,99.0,24.8,149,403.0,21.3,4.5,0.75,0.87,franco,aspersion,mejorada,muy_alta
ZON000002,2.8,28.0,21,169,6.4,18.9,70.0,29.5,139,402.0,22.1,8.5,0.56,0.71,franco,secano,tradicional,alta
ZON000003,1.3,28.0,17,163,6.1,9.5,37.0,26.2,140,370.0,16.7,10.7,0.54,0.71,arenoso,secano,tradicional,muy_baja
ZON000004,2.3,20.0,18,191,6.2,12.7,57.0,21.3,123,328.0,16.2,11.1,0.59,0.74,arcilloso,secano,hibrida,media
ZON000005,2.2,32.0,16,169,6.5,15.2,61.0,14.3,59,182.0,18.9,3.2,0.19,0.26,arenoso,goteo,hibrida,baja
ZON000006,3.6,33.0,27,308,7.2,25.4,82.0,23.3,151,465.0,18.6,12.9,0.64,0.79,arenoso,goteo,tradicional,alta
ZON000007,3.8,41.0,24,264,6.7,16.1,92.0,22.0,123,374.0,15.5,14.3,0.7,0.85,arcilloso,secano,tradicional,alta
ZON000008,3.1,27.0,18,182,5.5,13.2,51.0,15.0,91,245.0,20.2,0.0,0.39,0.54,arenoso,secano,tradicional,baja
ZON000009,3.2,30.0,31,228,6.6,19.7,80.0,22.7,127,340.0,21.2,1.4,0.56,0.66,arenoso,secano,tradicional,media
ZON000010,1.5,25.0,20,117,6.6,12.4,71.0,,154,421.0,18.3,11.5,0.66,0.81,arenoso,secano,mejorada,media
ZON000011,2.4,35.0,23,172,6.9,12.4,71.0,15.8,66,340.0,23.3,5.2,0.52,0.65,arcilloso,secano,tradicional,baja
ZON000012,1.6,20.0,22,209,6.1,21.1,55.0,28.0,130,304.0,15.8,15.5,0.56,0.69,arenoso,secano,mejorada,media
ZON000013,2.9,27.0,25,253,7.2,17.2,67.0,27.9,183,511.0,13.5,13.7,0.67,0.86,franco,aspersion,mejorada,media
ZON000014,2.4,26.0,21,176,6.3,16.3,50.0,23.1,96,,17.1,5.0,0.39,0.53,arcilloso,secano,hibrida,baja
ZON000015,3.5,33.0,23,221,7.3,17.7,82.0,,132,340.0,18.2,6.5,0.57,0.7,calcareo,secano,mejorada,media
ZON000016,3.2,28.0,19,221,6.9,18.1,79.0,25.5,154,333.0,17.5,4.3,0.62,0.78,franco,secano,mejorada,muy_alta
ZON000017,2.3,17.0,14,187,6.9,14.9,69.0,31.4,162,515.0,21.8,26.2,0.7,0.86,calcareo,goteo,hibrida,media
ZON000018,2.4,27.0,30,132,7.5,16.2,47.0,29.6,168,507.0,17.9,6.5,0.65,0.82,arcilloso,goteo,mejorada,media
ZON000019,0.4,15.0,8,139,6.7,7.2,33.0,28.5,176,663.0,19.9,10.3,0.49,0.6,franco,goteo,tradicional,baja
ZON000020,4.4,47.0,39,293,,25.5,94.0,30.6,153,449.0,19.4,2.6,0.71,0.91,franco,secano,tradicional,muy_alta
ZON000021,3.0,33.0,31,263,6.4,20.6,55.0,25.1,169,467.0,19.2,3.4,,0.98,franco,goteo,tradicional,muy_alta
ZON000022,0.8,23.0,21,150,6.7,13.6,60.0,21.0,109,376.0,16.0,9.8,0.59,0.7,calcareo,goteo,tradicional,baja
ZON000023,1.8,19.0,7,109,6.8,7.8,49.0,,186,633.0,20.9,14.6,0.29,0.4,franco,goteo,tradicional,baja
ZON000024,3.9,35.0,30,240,6.5,19.0,93.0,20.8,146,337.0,17.2,3.4,0.67,0.84,franco,aspersion,mejorada,alta
ZON000025,4.4,,32,293,6.7,22.0,103.0,14.4,104,195.0,19.5,5.7,0.52,0.68,franco,aspersion,mejorada,media
ZON000026,2.0,27.0,17,119,6.8,15.6,81.0,33.0,158,676.0,17.4,15.7,0.55,0.72,franco,secano,tradicional,media
ZON000027,3.4,,29,212,6.6,20.6,82.0,31.3,181,430.0,18.5,6.1,0.61,0.81,arcilloso,aspersion,tradicional,alta
ZON000028,2.3,25.0,16,238,6.1,18.2,,18.8,77,331.0,16.7,18.0,0.24,0.4,franco,secano,mejorada,muy_baja
ZON000029,2.3,,13,90,6.8,10.4,38.0,27.9,211,592.0,22.3,14.4,0.55,0.67,franco,goteo,tradicional,baja
ZON000030,3.7,41.0,31,217,7.0,22.1,81.0,,179,554.0,12.9,10.3,0.69,0.84,calcareo,goteo,mejorada,alta
ZON000031,3.3,39.0,26,236,6.9,21.9,104.0,26.8,184,500.0,14.5,3.7,0.59,0.72,franco,secano,tradicional,alta
ZON000032,1.5,30.0,22,189,7.6,15.5,43.0,23.9,128,298.0,19.0,21.3,0.56,0.69,calcareo,secano,hibrida,baja
ZON000033,2.4,33.0,24,182,5.9,15.2,61.0,19.9,120,194.0,15.9,10.1,0.44,0.54,franco,goteo,mejorada,baja
ZON000034,2.1,30.0,21,244,6.7,20.6,86.0,34.0,203,604.0,17.0,16.3,0.57,0.79,franco,aspersion,tradicional,alta
ZON000035,2.6,38.0,33,237,6.4,22.3,123.0,,233,522.0,19.7,17.1,0.63,0.82,calcareo,goteo,tradicional,alta
ZON000036,0.3,3.0,7,138,7.1,11.7,43.0,35.3,167,589.0,17.5,0.0,0.44,0.52,arcilloso,goteo,mejorada,baja
ZON000037,2.6,33.0,26,262,6.2,19.1,87.0,24.6,151,375.0,19.9,18.2,0.42,0.55,calcareo,secano,mejorada,media
ZON000038,2.2,32.0,17,230,6.8,15.1,61.0,25.3,155,519.0,19.9,2.4,0.41,0.54,franco,aspersion,tradicional,media
ZON000039,3.6,34.0,23,252,6.2,16.1,86.0,20.0,136,412.0,15.6,3.4,,0.88,arenoso,secano,mejorada,alta
