temp_cultivo_c,ph_cultivo,do_pct,densidad_inoculo_1e6cel_ml,viabilidad_inicial_pct,glucosa_inicial_g_l,duracion_cultivo_dias,tipo_medio,estrategia_alimentacion,titulo_final_g_l
35.0,6.79,66.2,0.7,95.7,8.05,13,optimizado,lote,6.23
33.3,7.0,44.1,0.64,91.5,3.71,7,basal,lote_alimentado,5.27
35.2,6.62,56.1,0.45,92.9,5.39,11,basal,lote_alimentado,5.26
31.9,7.16,40.6,0.42,94.2,6.68,10,basal,lote_alimentado,4.37
31.4,7.24,14.6,0.32,91.0,8.95,14,basal,lote_alimentado,4.78
33.8,6.51,55.5,0.72,95.7,7.81,11,quimicamente_definido,perfusion,7.39
34.1,6.96,61.0,0.36,97.5,8.06,18,quimicamente_definido,lote_alimentado,7.62
34.9,6.83,69.4,0.47,99.5,5.3,11,basal,lote,5.11
34.1,7.26,43.8,0.79,99.5,6.29,9,quimicamente_definido,perfusion,7.47
36.5,6.96,39.0,0.62,93.6,4.88,6,quimicamente_definido,perfusion,5.69
31.4,7.14,47.2,0.55,88.9,5.54,12,optimizado,lote,4.38
35.1,6.88,31.7,0.54,86.0,6.16,11,basal,perfusion,5.83
34.5,6.98,33.8,0.47,97.0,4.86,15,quimicamente_definido,lote_alimentado,7.19
36.7,7.43,53.2,0.29,98.2,7.97,15,basal,lote,4.28
34.2,7.42,42.2,0.59,99.5,6.06,15,quimicamente_definido,lote,5.58
34.6,6.48,38.3,0.33,93.6,5.45,10,optimizado,perfusion,5.98
37.5,7.0,50.2,0.83,92.2,4.67,9,quimicamente_definido,lote,4.67
35.6,6.96,40.6,0.26,91.7,7.88,11,basal,perfusion,4.84
35.2,6.63,76.5,0.46,96.2,6.97,10,quimicamente_definido,lote,5.98
33.2,6.71,41.3,0.51,81.8,5.55,13,optimizado,lote_alimentado,6.52
34.3,6.95,65.3,0.41,83.4,4.18,12,basal,lote,4.49
30.7,7.14,54.2,0.51,79.7,7.18,15,basal,lote_alimentado,5.35
32.3,7.03,57.8,0.61,89.8,5.74,11,optimizado,lote_alimentado,5.92
35.3,6.8,49.8,0.72,91.4,7.41,7,optimizado,lote_alimentado,5.5
30.4,6.63,43.2,0.53,98.0,6.01,15,basal,perfusion,6.69
34.2,6.38,45.1,0.5,92.2,8.11,20,basal,lote_alimentado,6.11
34.0,7.29,37.3,0.56,94.7,5.9,14,optimizado,lote_alimentado,6.01
34.8,6.76,49.9,0.51,91.4,8.36,8,quimicamente_definido,perfusion,6.36
30.6,6.69,57.7,0.39,89.6,7.18,8,quimicamente_definido,lote_alimentado,5.85
29.9,6.98,13.4,0.51,86.5,3.97,17,optimizado,perfusion,5.52
36.2,6.88,28.6,0.69,93.3,5.54,12,quimicamente_definido,lote_alimentado,6.11
34.2,6.9,29.5,0.52,91.9,8.32,12,quimicamente_definido,lote,5.18
34.8,7.06,53.5,0.51,86.7,6.4,11,basal,lote_alimentado,5.41
37.2,6.78,53.1,0.49,89.2,5.2,15,quimicamente_definido,lote,5.52
34.3,6.64,39.6,0.59,86.7,6.13,13,quimicamente_definido,lote,5.37
30.1,6.86,64.6,0.57,87.8,7.72,9,basal,perfusion,5.65
33.4,6.92,40.1,0.57,98.2,6.56,11,quimicamente_definido,lote_alimentado,6.9
35.6,6.63,52.0,0.46,93.9,5.71,12,quimicamente_definido,lote_alimentado,6.4
33.1,6.62,55.4,0.15,94.6,3.46,11,basal,perfusion,5.63
33.4,6.64,42.9,0.41,87.3,8.51,15,optimizado,lote_alimentado,6.46
32.8,7.1,58.5,0.5,89.1,4.61,10,basal,lote_alimentado,4.66
36.9,7.25,40.2,0.37,98.1,7.58,11,optimizado,perfusion,5.45
36.5,7.22,44.7,0.61,88.6,3.67,17,basal,perfusion,5.48
30.4,6.67,46.4,0.37,88.9,5.17,18,quimicamente_definido,perfusion,7.13
37.8,6.73,54.8,0.17,95.3,4.7,18,basal,lote_alimentado,5.08
32.5,6.58,63.6,0.63,97.9,7.28,14,optimizado,lote,6.15
38.1,7.36,35.1,0.47,98.2,5.13,15,basal,lote,3.24
31.4,6.78,27.0,0.5,93.1,6.85,10,basal,lote,4.24
36.2,6.89,53.6,0.23,88.9,8.61,10,optimizado,lote,4.84
32.9,6.78,17.7,0.45,93.8,6.18,8,optimizado,lote_alimentado,5.1
33.7,6.94,45.6,0.48,94.6,4.66,14,basal,perfusion,6.21
35.8,6.64,52.5,0.51,90.9,5.53,15,basal,lote,4.78
