log_p,peso_molecular_da,solubilidad_logS,union_proteica_pct,num_anillos_aromaticos,tiempo_exposicion_h,concentracion_um,tipo_celula,mecanismo_accion,viabilidad_celular_pct
3.65,345.1,-2.04,96.2,3,24.0,0.38,cardiomiocito,inhibidor_enzimatico,93.77
2.53,446.8,-4.09,91.4,2,24.0,0.23,hepatocito,inhibidor_enzimatico,100.0
3.75,267.7,-2.97,75.7,1,24.0,10.48,hepatocito,antimetabolito,42.33
1.67,526.4,-4.4,73.6,4,72.0,5.42,hepatocito,inhibidor_enzimatico,91.44
1.34,562.9,-6.8,66.0,3,24.0,0.88,hepatocito,antimetabolito,94.15
2.88,214.4,-3.03,97.4,4,24.0,0.18,neuronal,otro,94.93
3.09,429.4,-2.52,68.5,5,48.0,63.42,neuronal,agente_alquilante,5.84
3.56,366.5,-1.75,77.9,1,24.0,17.08,hepatocito,inhibidor_enzimatico,54.06
3.08,573.1,-4.11,99.5,0,72.0,0.32,neuronal,otro,96.3
4.61,427.1,-4.55,89.9,5,48.0,1.03,neuronal,otro,89.73
1.32,514.4,-3.79,84.0,3,48.0,79.72,renal,inhibidor_enzimatico,36.0
3.74,390.8,-5.23,83.3,1,48.0,148.53,hepatocito,otro,14.69
3.29,437.7,-5.03,77.8,3,24.0,7.46,neuronal,inhibidor_enzimatico,80.7
4.76,655.9,-3.24,63.5,0,24.0,0.46,hepatocito,inhibidor_enzimatico,98.62
3.16,649.2,-4.26,87.2,5,24.0,0.11,cardiomiocito,inhibidor_enzimatico,99.0
3.41,196.4,-4.62,66.6,1,24.0,0.27,cardiomiocito,otro,93.18
5.29,445.7,-3.52,99.5,3,48.0,97.22,neuronal,inhibidor_enzimatico,10.19
4.04,429.0,-4.4,60.6,3,24.0,38.73,hepatocito,otro,42.25
3.79,271.1,-1.09,76.8,2,48.0,0.79,cardiomiocito,inhibidor_enzimatico,92.79
2.49,307.8,-4.34,80.7,2,72.0,5.47,renal,agente_alquilante,44.71
3.18,422.2,-2.12,72.9,4,24.0,0.31,hepatocito,inhibidor_enzimatico,100.0
0.85,514.7,-3.15,80.7,2,72.0,0.24,hepatocito,antimetabolito,100.0
1.9,462.8,-2.82,88.7,1,24.0,0.12,renal,agente_alquilante,95.74
3.84,349.8,-3.56,97.9,1,48.0,5.95,cardiomiocito,agente_alquilante,73.03
0.69,272.7,-4.16,82.2,3,48.0,31.13,hepatocito,otro,37.79
3.12,150.0,-3.99,80.3,3,48.0,0.16,hepatocito,agente_alquilante,92.97
3.02,584.8,-4.71,84.8,1,48.0,2.63,renal,antimetabolito,88.46
3.51,333.2,-3.54,81.0,2,48.0,10.32,cardiomiocito,otro,83.96
0.79,296.9,-2.83,71.4,0,24.0,3.14,neuronal,antimetabolito,90.62
0.36,440.5,-6.91,80.5,0,24.0,0.14,cardiomiocito,otro,100.0
4.44,389.7,-5.51,95.5,1,24.0,1.81,neuronal,antimetabolito,97.72
3.14,398.0,-5.43,81.7,2,24.0,13.38,neuronal,inhibidor_enzimatico,58.51
3.53,478.9,-3.22,80.5,3,24.0,0.54,hepatocito,agente_alquilante,99.79
5.1,341.7,-3.25,78.8,2,24.0,17.04,neuronal,inhibidor_enzimatico,40.58
3.23,273.1,-4.5,87.4,3,48.0,4.34,cardiomiocito,inhibidor_enzimatico,74.88
0.45,382.9,-2.19,85.5,3,24.0,21.77,hepatocito,otro,77.5
2.59,407.9,-4.46,85.9,2,24.0,6.39,cardiomiocito,inhibidor_enzimatico,91.74
4.06,269.4,-3.35,76.5,5,48.0,0.11,neuronal,inhibidor_enzimatico,96.9
2.45,267.4,-3.04,52.0,1,24.0,293.87,hepatocito,otro,2.28
2.61,274.3,-4.2,72.8,3,48.0,21.04,renal,agente_alquilante,15.52
2.22,497.9,-2.75,79.9,3,24.0,0.12,hepatocito,agente_alquilante,100.0
4.91,566.1,-4.45,69.3,3,24.0,1.42,cardiomiocito,otro,93.71
4.62,552.8,-4.03,88.5,3,48.0,0.52,hepatocito,otro,99.08
0.65,290.4,-3.87,69.4,2,48.0,6.9,cardiomiocito,otro,58.71
5.48,316.8,-3.1,53.5,1,24.0,6.7,hepatocito,agente_alquilante,17.7
1.99,246.7,-2.28,90.3,4,72.0,1.85,renal,inhibidor_enzimatico,83.05
