pureza_hplc_pct,endotoxinas_eu_mg,agregados_pct,potencia_relativa_pct,bioburden_ufc_ml,osmolalidad_mosm_kg,tiempo_procesado_h,planta_produccion,turno_produccion,apta_liberacion
97.26,1.6,1.13,98.5,3,300.0,40.6,planta_B,manana,si
95.09,0.85,5.32,105.9,8,318.5,31.8,planta_A,manana,no
97.45,2.81,1.47,108.8,2,323.7,31.7,planta_A,tarde,si
93.44,6.03,2.72,119.7,2,319.7,31.0,planta_A,manana,no
92.8,4.52,6.1,112.2,3,363.4,17.8,planta_A,tarde,no
95.76,2.95,4.32,102.5,4,353.2,23.7,planta_C,noche,si
96.18,8.46,3.53,95.1,5,302.5,37.8,planta_C,tarde,no
97.07,3.09,3.44,90.4,2,303.5,23.0,planta_A,manana,si
96.16,0.88,2.71,108.0,3,310.8,36.5,planta_C,noche,si
99.1,2.68,0.8,109.9,6,316.2,33.7,planta_C,noche,si
92.77,3.41,3.97,112.0,6,340.5,24.6,planta_B,manana,si
97.42,0.89,1.21,102.6,3,282.9,34.5,planta_A,noche,si
96.56,6.37,6.5,100.3,2,285.0,33.1,planta_C,manana,no
99.39,1.1,0.42,99.5,3,297.3,41.4,planta_A,manana,si
96.31,2.18,2.57,106.7,3,375.9,30.9,planta_B,manana,no
96.79,3.73,3.09,83.6,4,333.5,30.9,planta_B,noche,no
100.0,0.9,2.06,86.2,0,260.4,23.3,planta_C,manana,si
97.99,2.45,3.09,80.2,3,303.2,41.6,planta_A,noche,no
97.52,0.85,4.16,96.5,2,254.3,16.7,planta_C,manana,si
95.02,4.14,5.39,99.1,4,311.0,30.7,planta_B,tarde,no
96.35,5.47,3.29,109.6,1,295.5,32.2,planta_A,manana,si
91.87,1.29,3.04,100.4,3,333.6,32.6,planta_A,tarde,si
93.89,7.48,3.64,104.3,1,333.9,32.7,planta_B,tarde,no
97.62,2.27,3.13,99.1,3,343.2,29.5,planta_B,manana,si
91.55,2.65,1.85,96.1,1,309.6,39.7,planta_A,noche,no
96.23,1.38,3.07,91.3,4,317.4,36.9,planta_A,tarde,si
96.04,0.14,5.07,102.1,2,330.6,35.9,planta_B,tarde,no
96.97,3.94,3.23,99.8,2,317.5,44.7,planta_B,noche,si
91.76,6.44,3.06,91.6,1,281.1,25.8,planta_C,tarde,no
90.92,2.21,2.84,95.5,2,278.2,28.7,planta_B,noche,no
98.77,1.5,3.99,91.5,2,314.1,31.1,planta_C,tarde,si
96.28,1.85,3.73,93.2,3,260.0,21.9,planta_C,manana,si
97.03,2.28,3.79,110.0,3,342.8,37.2,planta_A,tarde,si
100.0,0.79,2.53,103.0,4,277.9,27.5,planta_C,manana,si
96.43,5.2,0.0,104.2,3,331.4,30.6,planta_B,manana,si
91.09,3.98,2.04,92.4,1,295.7,32.4,planta_A,noche,no
95.22,1.0,2.98,95.4,3,262.5,29.9,planta_C,manana,no
98.05,0.86,1.57,109.8,5,307.1,24.1,planta_C,manana,si
94.94,2.24,4.14,94.5,0,292.8,31.9,planta_A,noche,si
95.24,1.36,1.59,95.0,2,267.4,23.2,planta_B,tarde,si
94.5,0.02,0.0,105.3,3,327.6,30.2,planta_A,tarde,si
99.67,0.67,4.37,109.4,2,303.3,27.5,planta_B,noche,si
99.11,2.77,2.66,109.9,1,298.7,33.5,planta_A,noche,si
91.48,3.05,3.04,101.8,2,343.6,33.2,planta_C,noche,si
100.0,1.9,0.17,95.1,5,263.3,28.2,planta_A,tarde,si
94.06,4.54,2.45,102.9,3,339.1,33.7,planta_A,manana,si
100.0,2.69,2.79,104.1,8,318.4,34.1,planta_A,manana,si
92.72,2.4,3.14,98.3,2,310.5,33.9,planta_A,manana,si
98.75,3.44,4.48,98.2,1,236.6,21.3,planta_B,manana,si
94.58,0.77,2.0,106.1,2,313.1,15.0,planta_B,manana,si
95.61,4.49,2.66,115.7,2,292.0,29.5,planta_A,noche,si
