ph_final,acidez_titulable_pct,recuento_probioticos_log_ufc_g,contenido_polifenoles_mg_100g,actividad_antioxidante_pct,tiempo_fermentacion_h,temp_fermentacion_c,tipo_sustrato,cultivo_iniciador,categoria_funcional
4.18,0.69,8.51,203.9,66.1,24.8,30.4,leche,monocultivo,premium
3.87,0.86,7.14,188.1,53.6,10.4,22.9,soja,cocultivo,estandar
4.2,0.56,7.89,135.6,57.8,16.0,28.3,soja,cocultivo,estandar
3.64,0.99,6.93,128.6,61.5,20.3,27.3,soja,cocultivo,no_conforme
3.55,1.05,5.33,103.3,52.1,27.8,31.7,soja,cocultivo,no_conforme
3.97,0.47,7.85,208.0,66.0,24.0,28.3,te_kombucha,comercial_estandarizado,premium
4.02,0.83,8.19,111.7,71.5,24.9,37.4,te_kombucha,cocultivo,estandar
4.15,0.72,8.7,143.0,92.0,15.7,28.4,soja,monocultivo,premium
4.02,1.07,7.12,227.5,77.9,19.0,25.8,te_kombucha,comercial_estandarizado,premium
4.43,0.83,6.83,183.0,59.8,14.3,21.7,te_kombucha,comercial_estandarizado,estandar
3.55,0.97,7.34,163.4,45.8,16.5,29.9,avena,monocultivo,estandar
4.2,0.76,6.38,161.1,37.0,18.5,28.7,soja,comercial_estandarizado,premium
4.08,0.84,6.51,142.8,70.0,14.2,33.1,te_kombucha,cocultivo,premium
4.47,1.21,7.7,95.1,73.5,24.6,33.5,soja,monocultivo,estandar
4.04,1.2,7.03,174.2,77.5,18.2,33.1,leche,monocultivo,estandar
4.11,0.44,6.79,105.2,59.9,16.2,26.3,leche,comercial_estandarizado,estandar
4.62,0.86,7.52,237.4,55.5,13.6,25.0,te_kombucha,monocultivo,estandar
4.28,0.83,6.93,85.4,54.1,24.3,28.3,soja,comercial_estandarizado,no_conforme
4.21,0.57,9.14,139.3,67.6,21.2,26.4,leche,monocultivo,premium
3.86,0.63,6.98,152.2,24.3,16.5,30.5,avena,cocultivo,premium
4.05,0.82,8.45,126.5,29.1,11.9,28.8,soja,monocultivo,estandar
